"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Price","FamilySize","Child","AgeInterval"
"1","1","female",30,0,0,86.5,"S",28.8333333333333,1,"0","18-39"
"1","1","female",33,0,0,86.5,"S",28.8333333333333,1,"0","18-39"
"1","1","female",16,0,0,86.5,"S",28.8333333333333,1,"0","13-17"
"1","1","female",39,1,1,79.65,"S",26.55,3,"0","18-39"
"0","1","male",52,1,1,79.65,"S",26.55,3,"0","40-54"
"1","1","female",18,0,2,79.65,"S",26.55,3,"0","13-17"
"0","1","male",47,0,0,52,"S",26,1,"0","40-54"
"0","1","male",35,0,0,52,"S",26,1,"0","18-39"
"1","1","male",28,0,0,26.55,"S",26.55,1,"0","18-39"
"1","1","female",60,1,0,75.25,"C",75.25,2,"0","55-100"
"0","1","male",61,0,0,33.5,"S",33.5,1,"0","55-100"
"0","1","male",47,0,0,38.5,"S",38.5,1,"0","40-54"
"1","1","female",44,0,1,57.9792,"C",28.9896,2,"0","40-54"
"1","1","female",16,0,1,57.9792,"C",28.9896,2,"0","13-17"
"1","1","male",26,0,0,30,"C",30,1,"0","18-39"
"1","1","male",35,0,0,26.55,"C",26.55,1,"0","18-39"
"1","1","male",26,0,0,26.55,"S",26.55,1,"0","18-39"
"1","1","male",45,0,0,26.55,"S",26.55,1,"0","40-54"
"0","1","male",39,0,0,0,"S",0,1,"0","18-39"
"0","1","male",2,0,0,0,"S",0,1,"1","0-12"
"1","1","female",19,0,0,30,"S",30,1,"0","18-39"
"0","1","male",16,0,0,0,"S",0,1,"0","13-17"
"0","1","male",40,0,0,0,"S",0,1,"0","18-39"
"1","1","male",40,0,0,31,"C",31,1,"0","18-39"
"0","1","male",38,0,0,39.6,"C",39.6,1,"0","18-39"
"0","1","male",28,0,0,26.55,"S",26.55,1,"0","18-39"
"0","1","male",45.5,0,0,28.5,"S",28.5,1,"0","40-54"
"0","1","male",45,0,0,26.55,"S",26.55,1,"0","40-54"
"0","1","male",30,0,0,27.75,"C",27.75,1,"0","18-39"
"1","1","male",51,0,0,26.55,"S",26.55,1,"0","40-54"
"0","1","male",16,0,0,26,"S",26,1,"0","13-17"
"0","1","male",28,0,0,47.1,"S",47.1,1,"0","18-39"
"0","1","male",29,0,0,30,"S",30,1,"0","18-39"
"0","1","male",27,0,2,211.5,"C",211.5,3,"0","18-39"
"1","1","female",45,0,1,55,"S",27.5,2,"0","40-54"
"1","1","female",22,0,1,55,"S",27.5,2,"0","18-39"
"0","1","male",65,0,1,61.9792,"C",61.9792,2,"0","55-100"
"0","1","male",19,0,0,35,"S",35,1,"0","18-39"
"0","1","male",62,0,0,26.55,"S",26.55,1,"0","55-100"
"1","1","female",62,0,0,80,"S",40,1,"0","55-100"
"1","1","female",38,0,0,80,"S",40,1,"0","18-39"
"1","1","female",14,1,2,120,"S",30,4,"0","13-17"
"1","1","male",36,1,2,120,"S",30,4,"0","18-39"
"1","1","male",11,1,2,120,"S",30,4,"0","0-12"
"1","1","female",36,1,2,120,"S",30,4,"0","18-39"
"0","1","male",56,0,0,50,"S",50,1,"0","55-100"
"0","1","male",19,1,0,53.1,"S",53.1,2,"0","18-39"
"0","1","male",29,1,0,66.6,"S",33.3,2,"0","18-39"
"1","1","female",22,1,0,66.6,"S",33.3,2,"0","18-39"
"0","1","female",25,1,2,151.55,"S",37.8875,4,"0","18-39"
"1","1","male",0.92,1,2,151.55,"S",37.8875,4,"1","0-12"
"0","1","female",2,1,2,151.55,"S",37.8875,4,"1","0-12"
"1","1","female",22,0,0,151.55,"S",37.8875,1,"0","18-39"
"1","1","female",58,0,0,26.55,"S",26.55,1,"0","55-100"
"0","1","male",45,0,0,35.5,"S",35.5,1,"0","40-54"
"1","1","male",52,0,0,30.5,"S",30.5,1,"0","40-54"
"0","1","male",55,0,0,30.5,"S",30.5,1,"0","40-54"
"1","1","male",28,0,0,35.5,"S",35.5,1,"0","18-39"
"1","1","female",35,1,0,52,"S",26,2,"0","18-39"
"0","1","male",42,1,0,52,"S",26,2,"0","40-54"
"0","1","male",56,0,0,26.55,"S",26.55,1,"0","55-100"
"1","1","male",34,0,0,26.55,"S",26.55,1,"0","18-39"
"0","1","male",33,0,0,42.4,"S",42.4,1,"0","18-39"
"0","1","male",45,0,0,31,"S",15.5,1,"0","40-54"
"1","1","female",30,0,0,31,"C",15.5,1,"0","18-39"
"0","1","male",60,0,0,26.55,"S",26.55,1,"0","55-100"
"1","1","female",35,1,0,53.1,"S",26.55,2,"0","18-39"
"0","1","male",37,1,0,53.1,"S",26.55,2,"0","18-39"
"1","1","male",27,0,0,30.5,"S",30.5,1,"0","18-39"
"1","1","female",33,1,0,53.1,"S",26.55,2,"0","18-39"
"1","1","male",27,1,0,53.1,"S",26.55,2,"0","18-39"
"0","1","male",62,0,0,26.55,"S",26.55,1,"0","55-100"
"0","2","male",29,1,0,21,"S",10.5,2,"0","18-39"
"0","2","female",27,1,0,21,"S",10.5,2,"0","18-39"
"1","1","male",37,1,1,52.5542,"S",26.2771,3,"0","18-39"
"1","1","female",47,1,1,52.5542,"S",26.2771,3,"0","40-54"
"1","1","female",19,0,2,26.2833,"S",26.2833,3,"0","18-39"
"1","1","male",42,1,0,52.5542,"S",52.5542,2,"0","40-54"
"1","1","female",48,1,0,39.6,"C",39.6,2,"0","40-54"
"1","1","male",25,1,0,55.4417,"C",55.4417,2,"0","18-39"
"1","1","female",24,0,0,83.1583,"C",41.57915,1,"0","18-39"
"1","1","female",56,0,1,83.1583,"C",41.57915,2,"0","55-100"
"1","1","female",53,2,0,51.4792,"S",51.4792,3,"0","40-54"
"0","1","male",58,0,0,29.7,"C",29.7,1,"0","55-100"
"1","1","male",64,0,0,29.7,"C",29.7,1,"0","55-100"
"1","1","female",32,0,0,76.2917,"C",76.2917,1,"0","18-39"
"1","1","female",19,1,0,91.0792,"C",45.5396,2,"0","18-39"
"1","1","male",25,1,0,91.0792,"C",45.5396,2,"0","18-39"
"0","2","male",34,0,0,13,"S",13,1,"0","18-39"
"0","3","male",56,0,0,7.75,"Q",7.75,1,"0","55-100"
"1","1","female",52,1,1,93.5,"S",46.75,3,"0","40-54"
"1","1","female",30,0,0,93.5,"S",46.75,1,"0","18-39"
"0","1","male",36,0,0,40.125,"C",40.125,1,"0","18-39"
"1","1","male",56,0,0,35.5,"C",35.5,1,"0","55-100"
"1","1","male",32,0,0,30.5,"C",30.5,1,"0","18-39"
"1","1","female",21,0,0,77.9583,"S",25.9861,1,"0","18-39"
"1","1","female",51,1,0,77.9583,"S",25.9861,2,"0","40-54"
"1","1","female",63,1,0,77.9583,"S",25.9861,2,"0","55-100"
"0","1","male",50,1,0,55.9,"S",27.95,2,"0","40-54"
"1","1","female",39,1,0,55.9,"S",27.95,2,"0","18-39"
"0","1","male",65,0,0,26.55,"S",26.55,1,"0","55-100"
"1","1","male",60,1,1,79.2,"C",79.2,3,"0","55-100"
"1","1","female",22,0,2,49.5,"C",49.5,3,"0","18-39"
"1","3","female",31,0,0,7.75,"Q",7.75,1,"0","18-39"
"1","3","female",1,0,0,7.75,"Q",7.75,1,"1","0-12"
