"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Price","FamilySize","Child","AgeInterval","Survived_Predicted"
"1","1","female",30,0,0,86.5,"S",28.8333333333333,1,"0","18-39",2.53159480269184
"1","1","female",33,0,0,86.5,"S",28.8333333333333,1,"0","18-39",2.45124417441185
"1","1","female",16,0,0,86.5,"S",28.8333333333333,1,"0","13-17",2.90656440133175
"1","1","female",39,1,1,79.65,"S",26.55,3,"0","18-39",1.91289737302066
"0","1","male",52,1,1,79.65,"S",26.55,3,"0","40-54",-1.00196609740076
"1","1","female",18,0,2,79.65,"S",26.55,3,"0","13-17",2.5859994419965
"0","1","male",47,0,0,52,"S",26,1,"0","40-54",-0.567953211556964
"0","1","male",35,0,0,52,"S",26,1,"0","18-39",-0.246550698437036
"1","1","male",28,0,0,26.55,"S",26.55,1,"0","18-39",-0.116273348028368
"1","1","female",60,1,0,75.25,"C",75.25,2,"0","55-100",1.93836757162167
"0","1","male",61,0,0,33.5,"S",33.5,1,"0","55-100",-0.984507792706068
"0","1","male",47,0,0,38.5,"S",38.5,1,"0","40-54",-0.598299009604209
"1","1","female",44,0,1,57.9792,"C",28.9896,2,"0","40-54",2.43872998539648
"1","1","female",16,0,1,57.9792,"C",28.9896,2,"0","13-17",3.18866918267632
"1","1","male",26,0,0,30,"C",30,1,"0","18-39",0.417063758106561
"1","1","male",35,0,0,26.55,"C",26.55,1,"0","18-39",0.168256835987875
"1","1","male",26,0,0,26.55,"S",26.55,1,"0","18-39",-0.0627062625083796
"1","1","male",45,0,0,26.55,"S",26.55,1,"0","40-54",-0.571593574948265
"0","1","male",39,0,0,0,"S",0,1,"0","18-39",-0.470572387881218
"0","1","male",2,0,0,0,"S",0,1,"1","0-12",0.520418694238559
"1","1","female",19,0,0,30,"S",30,1,"0","18-39",2.69921098863182
"0","1","male",16,0,0,0,"S",0,1,"0","13-17",0.145449095598643
"0","1","male",40,0,0,0,"S",0,1,"0","18-39",-0.497355930641212
"1","1","male",40,0,0,31,"C",31,1,"0","18-39",0.0443419963590345
"0","1","male",38,0,0,39.6,"C",39.6,1,"0","18-39",0.117240479153564
"0","1","male",28,0,0,26.55,"S",26.55,1,"0","18-39",-0.116273348028368
"0","1","male",45.5,0,0,28.5,"S",28.5,1,"0","40-54",-0.580602064388104
"0","1","male",45,0,0,26.55,"S",26.55,1,"0","40-54",-0.571593574948265
"0","1","male",30,0,0,27.75,"C",27.75,1,"0","18-39",0.304871954058711
"1","1","male",51,0,0,26.55,"S",26.55,1,"0","40-54",-0.732294831508229
"0","1","male",16,0,0,26,"S",26,1,"0","13-17",0.203892854800746
"0","1","male",28,0,0,47.1,"S",47.1,1,"0","18-39",-0.0700802998897825
"0","1","male",29,0,0,30,"S",30,1,"0","18-39",-0.135301853509621
"0","1","male",27,0,2,211.5,"C",211.5,3,"0","18-39",0.546662420212692
"1","1","female",45,0,1,55,"S",27.5,2,"0","40-54",1.93323470363049
"1","1","female",22,0,1,55,"S",27.5,2,"0","18-39",2.54925618711035
"0","1","male",65,0,1,61.9792,"C",61.9792,2,"0","55-100",-0.681410479535331
"0","1","male",19,0,0,35,"S",35,1,"0","18-39",0.143772758552262
"0","1","male",62,0,0,26.55,"S",26.55,1,"0","55-100",-1.02691380186816
"1","1","female",62,0,0,80,"S",40,1,"0","55-100",1.6599104945715
"1","1","female",38,0,0,80,"S",40,1,"0","18-39",2.30271552081136
"1","1","female",14,1,2,120,"S",30,4,"0","13-17",2.54738606507718
"1","1","male",36,1,2,120,"S",30,4,"0","18-39",-0.608529290184181
"1","1","male",11,1,2,120,"S",30,4,"0","0-12",0.0610592788156681
"1","1","female",36,1,2,120,"S",30,4,"0","18-39",1.95814812435732
"0","1","male",56,0,0,50,"S",50,1,"0","55-100",-0.813500770181687
"0","1","male",19,1,0,53.1,"S",53.1,2,"0","18-39",-0.0519891602626777
"0","1","male",29,1,0,66.6,"S",33.3,2,"0","18-39",-0.289478789815372
"1","1","female",22,1,0,66.6,"S",33.3,2,"0","18-39",2.46468342404608
"0","1","female",25,1,2,151.55,"S",37.8875,4,"0","18-39",2.32368634867211
"1","1","male",0.92,1,2,151.55,"S",37.8875,4,"1","0-12",0.401956643791267
"0","1","female",2,1,2,151.55,"S",37.8875,4,"1","0-12",2.93970783215197
"1","1","female",22,0,0,151.55,"S",37.8875,1,"0","18-39",2.89208493462167
"1","1","female",58,0,0,26.55,"S",26.55,1,"0","55-100",1.64689778371331
"0","1","male",45,0,0,35.5,"S",35.5,1,"0","40-54",-0.551475434761387
"1","1","male",52,0,0,30.5,"S",30.5,1,"0","40-54",-0.750199418543288
"0","1","male",55,0,0,30.5,"S",30.5,1,"0","40-54",-0.83055004682327
"1","1","male",28,0,0,35.5,"S",35.5,1,"0","18-39",-0.09615520784149
"1","1","female",35,1,0,52,"S",26,2,"0","18-39",2.08367894953729
"0","1","male",42,1,0,52,"S",26,2,"0","40-54",-0.670483264324166
"0","1","male",56,0,0,26.55,"S",26.55,1,"0","55-100",-0.866212545308199
"1","1","male",34,0,0,26.55,"S",26.55,1,"0","18-39",-0.276974604588331
"0","1","male",33,0,0,42.4,"S",42.4,1,"0","18-39",-0.214562847083979
"0","1","male",45,0,0,31,"S",15.5,1,"0","40-54",-0.561590700777136
"1","1","female",30,0,0,31,"C",15.5,1,"0","18-39",2.87885483850047
"0","1","male",60,0,0,26.55,"S",26.55,1,"0","55-100",-0.973346716348174
"1","1","female",35,1,0,53.1,"S",26.55,2,"0","18-39",2.08615157011892
"0","1","male",37,1,0,53.1,"S",26.55,2,"0","18-39",-0.534092929942569
"1","1","male",27,0,0,30.5,"S",30.5,1,"0","18-39",-0.0806108495434387
"1","1","female",33,1,0,53.1,"S",26.55,2,"0","18-39",2.1397186556389
"1","1","male",27,1,0,53.1,"S",26.55,2,"0","18-39",-0.266257502342629
"0","1","male",62,0,0,26.55,"S",26.55,1,"0","55-100",-1.02691380186816
"0","2","male",29,1,0,21,"S",10.5,2,"0","18-39",-1.13167409068979
